Timestamp,UserID,SubID,Version,CrashCause,ErrorMessage,ErrorInfo,Recordings,Sequence
09:08:19,9js8-kkov-ixkl,7155222521,150.5,-,-,-,"0,7,2,5",1
01:57:45,d7ou-nbef-0xn3,9295073597,171.3,-,-,-,"3,4,0,5",1
16:03:45,t8w4-8nuu-8ntq,7530231395,177.3,App 1,-,-,-,-
21:13:21,3yx7-bquw-xu8k,2177646262,197.6,-,-,-,"3,6,7,5",1
21:36:36,esnv-c06d-08sl,2500919987,105.1,App 2,-,-,-,-
17:06:00,eem1-zum8-adqm,2125304592,168.3,-,-,-,"7,6,3,8",1
05:50:38,xe5w-auyx-310x,1499676225,176.8,Browser,-,-,-,-
16:19:54,s6ny-6c65-252i,4830196310,123.7,-,-,-,"6,2,3,6",1
08:00:49,pauh-xtpn-i89s,7007068775,198.5,Browser,-,-,-,-
15:41:22,12ls-46id-6mz6,2356453365,127.1,Connection Timeout,-,-,-,-
04:22:32,89mz-3z13-0qh3,2383408409,151.8,-,TMW update,Client,-,-
19:52:14,8wg8-4sga-7gcx,3279572472,168.4,Browser,-,-,-,-
09:26:30,iujw-4p03-1ah9,5465219895,119.1,-,UI update,Client,-,-
07:07:29,0u3p-sk8l-b89v,5829411359,159.1,App 2,-,-,-,-
12:25:58,ahi9-low5-57kw,6774006622,189.5,-,UI update,Unknown,-,-
20:14:42,89mz-3z13-0qh3,2383408409,100.6,-,-,-,"0,0,6,1",1
08:15:25,0obr-kgrl-rqep,8452046207,115.3,-,TMW update,App,-,-
12:45:08,ize8-prbl-jktz,9534110714,163.9,Connection Timeout,-,-,-,-
02:18:09,5hw1-rr48-wvlb,1426015341,111.9,-,-,-,"4,7,3,5",1
00:38:20,91n6-str9-vdox,9692841114,132.9,App 1,-,-,-,-
04:42:33,co7y-v838-tm3o,5133359992,198.5,-,-,-,"8,3,2,1",1
06:59:19,ghrc-9x08-psov,5274086140,184.6,Connection Timeout,-,-,-,-
08:17:55,9js8-kkov-ixkl,7155222521,140.4,-,Connection Error,Client,-,-
10:06:55,id36-rntt-7z8m,2409814146,154.9,-,-,-,"5,4,9,2",1
21:52:19,6q9q-u2df-u5ap,3478641115,197.2,-,-,-,"2,1,9,1",1
01:17:22,ulmp-jrhh-61jj,8835731928,145.0,-,-,-,"2,0,2,5",1
22:09:37,5hw1-rr48-wvlb,1426015341,112.9,-,-,-,"8,1,1,0",2
16:17:22,11ea-4ff0-4mh2,6189465341,146.0,-,Authentication Error,Client,-,-
15:09:00,2ky0-nycp-ve79,2714653787,140.1,Browser,-,-,-,-
00:22:44,5hw1-rr48-wvlb,1426015341,190.7,UI,-,-,-,-
01:16:22,iujw-4p03-1ah9,5465219895,136.5,UI,-,-,-,-
18:20:20,j193-2qlt-we2r,6466946631,172.5,-,-,-,"5,9,3,8",1
07:17:32,lc0b-jehd-xgwr,5697672668,123.9,-,-,-,"6,6,7,3",1
19:17:18,tmvw-uh4m-8zze,5364632925,113.5,App 2,-,-,-,-
14:36:33,11ea-4ff0-4mh2,6189465341,160.6,-,App 2 Error,Unknown,-,-
17:29:44,u1mv-jsb9-wmq2,9616189263,137.2,-,-,-,"4,1,6,9",1
01:37:44,myka-elru-l2lh,9628015075,164.4,-,App 2 Error,Client,-,-
21:43:27,e7gh-5lc3-moqw,4284086848,175.2,-,Authentication Error,TMW,-,-
07:53:23,0obr-kgrl-rqep,8452046207,191.3,-,-,-,"0,8,8,8",1
18:05:06,sf1f-10sp-3u83,9851160304,107.2,-,-,-,"1,3,6,2",1
08:27:25,jwvd-4njd-jupr,9969053835,158.5,Watchdog,-,-,-,-
08:37:11,rxzh-9oyg-yq3m,3269532730,188.8,-,TMW update,Live,-,-
00:44:05,myka-elru-l2lh,9628015075,146.6,-,-,-,"4,3,2,8",1
00:26:06,91n6-str9-vdox,9692841114,174.7,-,App 1 Error,Client,-,-
05:31:38,bsen-jztq-ykg4,6191381879,185.7,-,-,-,"5,8,6,5",1
01:58:08,5jtf-y2zv-rsvx,7126585734,140.7,-,UI update,Unknown,-,-
16:51:55,kcd5-1nh3-q8sb,8366209124,146.4,-,App 1 Error,TMW,-,-
11:00:16,ghrc-9x08-psov,5274086140,149.8,-,-,-,"1,6,5,2",1
05:29:33,zx4s-d07i-q6g9,7948968855,177.5,-,Connection Error,Live,-,-
21:21:06,llmg-ir64-4d12,5483278154,140.3,Watchdog,-,-,-,-
00:03:07,d7ou-nbef-0xn3,9295073597,166.8,-,-,-,"8,1,1,4",2
05:52:34,0u3p-sk8l-b89v,5829411359,103.8,-,Unknown,Live,-,-
02:20:12,9f4d-ucnn-h7ip,3383663998,186.4,-,-,-,"9,4,8,4",1
15:48:41,kk2r-uaoq-xi6z,5264309556,110.9,UI,-,-,-,-
