Timestamp,UserID,SubID,Version,CrashCause,ErrorMessage,ErrorInfo,Recordings,Sequence
11:00:00,aklr-1qh1-7ui9,2227078585,395.5,-,UI update,App,-,-
11:00:01,8y79-mm3w-nmvs,5648978534,157.0,Connection Timeout,-,-,-,-
11:00:02,1epv-hkie-t9o9,1832445226,603.3,-,-,-,"4,5,5,7",1
11:00:04,3d4o-q1ls-ayz2,1012333686,845.0,-,App 1 Error,Unknown,-,-
11:00:05,57v9-6lid-kh29,2950302021,813.9,-,-,-,"4,6,9,9",1
11:00:07,gxxf-fl1u-sxzd,7305900962,411.8,-,-,-,"4,4,0,9",1
11:00:08,5vdw-ynbp-wtj6,3968564249,573.5,-,-,-,"0,5,1,6",1
11:00:10,6b8u-xh00-ph97,3947606257,387.8,UI,-,-,-,-
11:00:11,5czv-5rmh-6ffz,8158400134,162.8,-,Authentication Error,Live,-,-
11:00:12,xjhq-jfiw-rckw,5791152177,939.4,-,-,-,"3,5,9,7",1
11:00:14,0zoc-e22m-xzlv,5513319465,158.1,Browser,-,-,-,-
11:00:15,d8u4-en20-v2k1,4547595411,879.1,App 1,-,-,-,-
11:00:17,7zu6-ij1u-41y7,1539921769,628.7,-,Connection Error,App,-,-
11:00:18,gxxf-fl1u-sxzd,7305900962,723.3,Browser,-,-,-,-
11:00:20,4p1n-1s7s-dpn1,3142416678,169.6,-,-,-,"4,1,1,4",1
11:00:21,vcsh-xz20-w4di,3688664292,910.9,-,Connection Error,TMW,-,-
11:00:23,1izn-di43-afw0,8920961748,308.5,-,-,-,"6,2,3,4",1
11:00:24,m21q-o0rd-rnsu,9602605613,213.6,-,-,-,"6,1,7,7",1
11:00:25,5vdw-ynbp-wtj6,3968564249,566.9,-,App 2 Error,Client,-,-
11:00:27,7c3o-8t1z-bn3c,7658066621,579.0,-,UI update,TMW,-,-
11:00:28,1epv-hkie-t9o9,1832445226,466.8,App 1,-,-,-,-
11:00:30,fmdc-qbdo-prma,1019690237,462.2,-,App 1 Error,Client,-,-
11:00:31,7c3o-8t1z-bn3c,7658066621,311.9,-,App 2 Error,TMW,-,-
11:00:33,w5oj-nrbd-g1n0,2980231124,265.3,-,UI update,Unknown,-,-
11:00:34,wk8b-mspl-nckp,2183470728,821.0,Browser,-,-,-,-
11:00:36,bcjt-bg7v-k4g5,1410240065,350.1,-,-,-,"5,5,6,1",1
11:00:37,imcs-gyga-wl2v,6572207634,176.5,Connection Timeout,-,-,-,-
11:00:38,3d4o-q1ls-ayz2,1012333686,869.5,-,App 2 Error,App,-,-
11:00:40,8zlv-6frv-upy7,6801322512,407.4,-,-,-,"8,6,3,6",1
11:00:41,mbie-xosq-dbsx,3966629076,632.4,-,-,-,"3,0,4,8",1
11:00:43,qbik-1hz6-15ei,4279705066,470.6,Watchdog,-,-,-,-
11:00:44,0zoc-e22m-xzlv,5513319465,105.3,-,-,-,"4,4,9,6",1
11:00:46,d5oa-03dm-6ire,6839000489,175.9,-,-,-,"9,7,6,9",1
11:00:47,jye0-ifc4-dri9,9642436725,520.8,-,-,-,"6,4,7,9",1
11:00:48,02s1-aobm-rw9m,2863094359,802.7,App 2,-,-,-,-
11:00:50,8iyz-plsp-fqu8,1424302331,907.5,Browser,-,-,-,-
11:00:51,02s1-aobm-rw9m,2863094359,979.0,-,App 2 Error,Unknown,-,-
11:00:53,wfhr-52jd-na7z,2929607455,454.7,Connection Timeout,-,-,-,-
11:00:54,xjhq-jfiw-rckw,5791152177,496.1,-,-,-,"6,6,0,6",2
11:00:56,ou7g-fqh2-izeo,8516150686,685.1,-,-,-,"6,5,2,9",1
11:00:57,vcsh-xz20-w4di,3688664292,961.5,-,-,-,"5,9,5,8",1
11:00:59,yz87-zycr-k33n,8135309903,539.7,-,-,-,"0,3,9,5",1
11:01:00,qi4u-57v2-kz57,2782375800,827.4,-,-,-,"5,1,6,1",1
11:01:01,gad5-cf6a-mlsv,3157509160,467.9,-,App 1 Error,Client,-,-
11:01:03,u96x-l9cd-jnpx,6428269313,744.6,Browser,-,-,-,-
11:01:04,alue-nmg6-gcgu,7232964686,311.7,-,Authentication Error,TMW,-,-
11:01:06,vjvs-d7dv-zxmg,6579378869,322.3,-,UI update,Client,-,-
11:01:07,uwab-u5rf-z96z,5586466009,399.0,-,App 1 Error,App,-,-
11:01:09,7gk9-8shx-l1c7,5620344536,120.8,-,-,-,"2,9,5,1",1
11:01:10,ge9u-ftph-i6ex,5528167123,843.4,-,Unknown,Live,-,-
11:01:12,m21q-o0rd-rnsu,9602605613,328.4,-,Authentication Error,App,-,-
11:01:13,lxkn-dumf-k8yr,6785857988,274.9,App 2,-,-,-,-
11:01:14,tvkg-7diw-hsws,9911721019,815.1,-,-,-,"1,7,4,0",1
11:01:16,aklr-1qh1-7ui9,2227078585,834.3,-,-,-,"9,2,6,2",1
11:01:17,5k08-a4lh-mvjc,5665073697,373.2,-,App 2 Error,App,-,-
11:01:19,yrws-sore-7i1v,6491683568,965.2,-,-,-,"2,3,1,2",1
11:01:20,8zlv-6frv-upy7,6801322512,978.6,-,-,-,"0,0,9,4",2
11:01:22,yah9-l5b3-d8i8,7578333377,218.3,App 1,-,-,-,-
11:01:23,qi4u-57v2-kz57,2782375800,749.0,-,-,-,"8,7,4,1",2
11:01:24,0zoc-e22m-xzlv,5513319465,601.0,-,App 2 Error,Client,-,-
11:01:26,k68s-6t9s-eio0,6285106216,574.1,-,-,-,"8,1,0,5",1
11:01:27,payn-4nya-d28l,2810152648,180.8,-,-,-,"7,8,3,0",1
11:01:29,7gk9-8shx-l1c7,5620344536,387.4,-,-,-,"1,3,0,1",2
11:01:30,w5oj-nrbd-g1n0,2980231124,859.3,-,TMW update,Client,-,-
11:01:32,gad5-cf6a-mlsv,3157509160,400.4,Watchdog,-,-,-,-
11:01:33,fmdc-qbdo-prma,1019690237,815.6,-,-,-,"2,9,0,3",1
11:01:35,si4b-t5ek-zou2,2480403536,174.3,-,Unknown,App,-,-
11:01:36,ge9u-ftph-i6ex,5528167123,469.6,-,-,-,"7,4,6,7",1
11:01:37,ge9u-ftph-i6ex,5528167123,318.4,-,Authentication Error,Client,-,-
11:01:39,ou7g-fqh2-izeo,8516150686,641.8,-,App 1 Error,Live,-,-
11:01:40,d8u4-en20-v2k1,4547595411,495.6,App 1,-,-,-,-
11:01:42,3d4o-q1ls-ayz2,1012333686,917.6,-,App 1 Error,Unknown,-,-
11:01:43,vmy1-idh4-u1fe,9539326856,785.0,-,Connection Error,App,-,-
11:01:45,h773-52je-ozey,1905898623,890.5,-,-,-,"5,8,8,9",1
11:01:46,h382-81ec-ww78,3810238766,270.8,-,Authentication Error,Client,-,-
11:01:48,fmdc-qbdo-prma,1019690237,539.3,-,-,-,"6,2,4,8",2
11:01:49,a6d1-a3py-zdbx,8383442316,558.6,Browser,-,-,-,-
11:01:50,knk3-4mb9-hsgb,9374763484,839.3,App 1,-,-,-,-
11:01:52,q24k-g32h-uof5,5680163608,438.1,-,UI update,TMW,-,-
11:01:53,8zlv-6frv-upy7,6801322512,148.7,-,Authentication Error,Live,-,-
11:01:55,qi4u-57v2-kz57,2782375800,722.6,-,-,-,"5,5,3,6",3
11:01:56,u96x-l9cd-jnpx,6428269313,847.4,-,TMW update,Client,-,-
11:01:58,faue-pu25-mo1b,8587309118,601.6,-,Authentication Error,App,-,-
11:01:59,a6d1-a3py-zdbx,8383442316,146.1,Connection Timeout,-,-,-,-
11:02:00,ou7g-fqh2-izeo,8516150686,380.7,-,-,-,"4,3,4,6",2
11:02:02,nc0a-aikz-3f20,8261073697,153.3,-,App 2 Error,Client,-,-
11:02:03,vcsh-xz20-w4di,3688664292,870.0,-,-,-,"2,7,4,7",2
11:02:05,aklr-1qh1-7ui9,2227078585,195.6,-,App 2 Error,Client,-,-
11:02:06,si4b-t5ek-zou2,2480403536,534.3,-,-,-,"9,2,2,7",1
11:02:08,bcjt-bg7v-k4g5,1410240065,775.7,-,-,-,"2,0,6,0",2
11:02:09,aklr-1qh1-7ui9,2227078585,125.8,-,-,-,"5,6,2,9",2
11:02:11,q24k-g32h-uof5,5680163608,324.6,-,-,-,"8,3,1,3",1
11:02:12,j8c6-83o1-pn2l,7781503612,870.5,Connection Timeout,-,-,-,-
11:02:13,6b8u-xh00-ph97,3947606257,386.6,UI,-,-,-,-
11:02:15,02s1-aobm-rw9m,2863094359,155.1,-,Connection Error,Live,-,-
11:02:16,2vd2-ikga-vzgv,8262161842,876.8,Watchdog,-,-,-,-
