Timestamp,UserID,SubID,Version,CrashCause,ErrorMessage,ErrorInfo,Recordings,Sequence
11:00:00,b0kc-sqsc-c3hc,3733862617,893.0,-,-,-,"5,1,3,7",1
11:00:01,2yis-0y3h-vma2,9480881423,860.1,-,-,-,"2,7,6,6",1
11:00:02,zf7y-9qsi-n3l2,7709662552,575.8,UI,-,-,-,-
11:00:04,g57q-mq7a-3237,3782337507,195.7,-,App 1 Error,TMW,-,-
11:00:05,2i8b-ownr-o179,2252572111,652.6,-,-,-,"2,1,3,2",1
11:00:07,plzg-927m-nh7q,1237854839,157.0,-,TMW update,Unknown,-,-
11:00:08,ph03-ycj4-3nka,5368712395,506.2,App 2,-,-,-,-
11:00:10,ph03-ycj4-3nka,5368712395,134.6,-,-,-,"4,4,9,7",1
11:00:11,6r3u-vm5z-9i7x,9494822158,557.5,-,Authentication Error,TMW,-,-
11:00:12,nemi-yip7-d5c3,8196540761,639.7,-,App 1 Error,App,-,-
11:00:14,7j5t-mgp3-0jwg,9740937875,711.1,App 1,-,-,-,-
11:00:15,lctd-n7nu-m4q0,3191306654,956.7,-,-,-,"6,8,0,4",1
11:00:17,h3jf-teec-alcc,1438414299,256.2,Connection Timeout,-,-,-,-
11:00:18,qdsx-kq20-56q5,5422153871,398.3,App 1,-,-,-,-
11:00:20,22pi-hnlu-trva,4595581956,393.7,Watchdog,-,-,-,-
11:00:21,5o25-dyva-vbqf,7976785438,839.5,-,-,-,"5,1,5,3",1
11:00:23,5o4m-x32r-hokd,4229733403,882.2,-,-,-,"3,7,2,7",1
11:00:24,p7dn-hsnt-v9o2,6318440869,553.0,-,-,-,"9,7,4,7",1
11:00:25,7b20-cn4j-9dyp,2904895802,225.1,-,-,-,"8,5,2,5",1
11:00:27,2l6y-te06-n0pb,7561766230,935.3,-,App 1 Error,App,-,-
11:00:28,234d-wv67-akxs,1106617365,225.9,-,Connection Error,App,-,-
11:00:30,2l6y-te06-n0pb,7561766230,845.5,-,Connection Error,TMW,-,-
11:00:31,g67f-n8xk-9k11,9989742903,850.9,UI,-,-,-,-
11:00:33,o2e1-lzz2-vz4r,5875066154,230.6,-,UI update,Unknown,-,-
11:00:34,2l6y-te06-n0pb,7561766230,188.6,-,App 1 Error,TMW,-,-
11:00:36,s86o-vwhz-dtzw,2871875802,818.8,-,Authentication Error,Client,-,-
11:00:37,hgdz-toqh-yetq,5235498762,425.3,-,-,-,"1,4,7,5",1
11:00:38,npr3-5390-3k7m,8739683192,247.3,App 1,-,-,-,-
11:00:40,bcg6-cugo-ens6,4552944227,762.6,-,Authentication Error,Client,-,-
11:00:41,y8wf-u7kc-d3yt,2399567698,687.2,-,Connection Error,TMW,-,-
11:00:43,7r5a-u0s5-bdca,3355485879,669.5,-,-,-,"4,8,3,8",1
11:00:44,ph03-ycj4-3nka,5368712395,335.8,-,-,-,"3,0,6,8",2
11:00:46,b1iy-9bf4-ga7f,5381033472,669.0,-,Unknown,Unknown,-,-
11:00:47,qrfv-yadi-jhkd,4240503537,694.0,-,App 1 Error,Client,-,-
11:00:48,rych-z7mh-f3p5,8406177177,279.7,-,App 1 Error,Unknown,-,-
11:00:50,0r80-sb78-yy7r,7332435934,894.1,-,Connection Error,Live,-,-
11:00:51,d9e2-wg4a-tqxc,9602348296,540.3,-,UI update,Unknown,-,-
11:00:53,234d-wv67-akxs,1106617365,314.9,-,Connection Error,Live,-,-
11:00:54,26lz-954o-7l5h,5766904230,561.3,-,Authentication Error,Unknown,-,-
11:00:56,88ce-n88x-77bj,2887452007,262.6,-,-,-,"3,5,9,6",1
11:00:57,zirk-iq6l-cwah,8950098770,727.1,-,Authentication Error,Live,-,-
11:00:59,22pi-hnlu-trva,4595581956,849.1,-,-,-,"9,6,5,7",1
11:01:00,ivy6-wwoe-7doc,9214440937,864.4,-,Unknown,TMW,-,-
11:01:01,367g-bjlm-8clc,5631010189,414.4,-,-,-,"1,3,8,1",1
11:01:03,s86o-vwhz-dtzw,2871875802,924.7,-,Connection Error,Client,-,-
11:01:04,zf7y-9qsi-n3l2,7709662552,554.9,-,-,-,"2,8,3,8",1
11:01:06,fuv6-ajyl-lqpp,8651030953,384.3,Browser,-,-,-,-
11:01:07,ivde-u6n3-cs2i,3037949932,583.4,-,-,-,"5,5,4,7",1
11:01:09,pbht-4q5g-zubm,5875403306,894.3,-,UI update,App,-,-
11:01:10,tk1j-if2a-b294,6208675443,442.4,-,Unknown,Live,-,-
11:01:12,w4o2-5rlb-xkpa,6887829938,283.6,-,Connection Error,Live,-,-
11:01:13,gat4-elc2-t11y,6146953131,930.0,Connection Timeout,-,-,-,-
11:01:14,nemi-yip7-d5c3,8196540761,308.5,Watchdog,-,-,-,-
11:01:16,7j5t-mgp3-0jwg,9740937875,391.9,-,Authentication Error,Unknown,-,-
11:01:17,ysnl-oh91-t29u,4311248074,832.2,-,App 1 Error,Live,-,-
11:01:19,ivde-u6n3-cs2i,3037949932,263.9,Connection Timeout,-,-,-,-
11:01:20,3yvm-xmrj-tv31,7880794750,232.2,Browser,-,-,-,-
11:01:22,pbht-4q5g-zubm,5875403306,805.7,-,TMW update,TMW,-,-
11:01:23,leom-dsji-22yz,7762182430,629.4,-,App 2 Error,Live,-,-
11:01:24,npr3-5390-3k7m,8739683192,871.3,Browser,-,-,-,-
11:01:26,2qud-cxfj-ive1,3226174744,485.3,-,Connection Error,Unknown,-,-
11:01:27,g67f-n8xk-9k11,9989742903,197.1,-,-,-,"8,0,0,1",1
11:01:29,3yvm-xmrj-tv31,7880794750,944.5,App 2,-,-,-,-
11:01:30,zk8m-8s55-8lia,9205486548,951.9,-,-,-,"2,8,2,8",1
11:01:32,8axf-4jdd-arkp,5732933447,283.4,-,UI update,App,-,-
11:01:33,nzug-g641-5ysl,8092508957,141.2,-,-,-,"9,1,4,1",1
11:01:35,qvg3-zd7l-vzcp,8337548802,740.9,Connection Timeout,-,-,-,-
11:01:36,7ey2-7es8-v3p6,2149302578,652.7,-,Unknown,App,-,-
11:01:37,8nbh-bzyh-qozu,4130732534,121.9,-,-,-,"1,3,2,9",1
11:01:39,npr3-5390-3k7m,8739683192,323.5,-,-,-,"8,6,0,6",1
11:01:40,a5g0-wiah-8mkq,8492659333,267.0,-,-,-,"1,6,1,4",1
11:01:42,fsih-tiee-yoxh,5315197281,828.3,Connection Timeout,-,-,-,-
11:01:43,s09y-2739-aczx,8341865170,166.6,-,TMW update,Live,-,-
11:01:45,ukj3-1ry1-pz25,9851861629,481.6,-,-,-,"8,9,4,7",1
11:01:46,dy72-anyd-qwz2,3062573710,700.0,-,-,-,"1,0,4,5",1
11:01:48,ice4-hiry-38x9,7363490063,719.0,App 2,-,-,-,-
